i,j,id,m,pabs,e
27,258,-11,0.000511,4.94482,4.94482
27,259,11,0.000511,49.3973,49.3973
27,261,-11,0.000511,4.94474,4.94474
27,262,-11,0.000511,4.91529,4.91529
27,264,11,0.000511,49.3973,49.3973
28,5,25,125.003,152.832,197.442
28,10,25,125.003,147.587,193.411
28,16,25,125.003,146.36,192.476
28,52,25,125.003,146.647,192.695
28,151,25,125.003,146.608,192.665
28,166,25,125.003,146.587,192.649
28,312,25,125.003,146.59,192.651
28,385,25,125.003,146.589,192.65
28,756,25,125.003,146.56,192.628
28,968,23,94.2539,95.1397,133.923
28,969,23,25.7536,52.7548,58.7054
28,970,11,0.000511,29.6783,29.6783
28,971,-11,0.000511,104.245,104.245
28,972,-11,0.000511,102.73,102.73
28,974,11,0.000511,29.677,29.677
28,975,11,0.000511,29.6685,29.6685
28,977,-11,0.000511,102.721,102.721
28,978,11,0.000511,29.6456,29.6456
28,980,-11,0.000511,102.721,102.721
28,981,13,0.10566,30.8431,30.8433
28,982,-13,0.10566,27.8619,27.8621
28,983,13,0.10566,30.8431,30.8433
28,985,-13,0.10566,27.8619,27.8621
28,1686,11,0.000511,0.522479,0.522479
28,1687,-11,0.000511,1.5318,1.5318
29,5,25,125,295.284,320.652
29,72,25,125,295.339,320.702
29,85,25,125,296.376,321.658
29,332,25,125,296.476,321.75
29,802,25,125,296.518,321.789
29,1051,23,23.2709,45.3072,50.934
29,1052,23,90.3591,255.338,270.855
29,1076,15,1.77682,28.535,28.5903
29,1077,-15,1.77682,242.258,242.265
29,1892,13,0.10566,9.86884,9.86941
29,1936,11,0.000511,0.70188,0.701881
29,1937,-11,0.000511,0.201946,0.201946
30,5,25,124.997,98.4824,159.132
30,8,25,124.997,140.794,188.274
30,21,25,124.997,142.35,189.441
30,64,25,124.997,142.196,189.325
30,104,25,124.997,142.995,189.926
30,117,25,124.997,143.188,190.071
30,371,25,124.997,143.073,189.985
30,495,23,92.2801,93.7461,131.545
30,496,23,23.1958,53.6398,58.4403
30,544,15,1.77682,29.0869,29.1411
30,545,-15,1.77682,29.2453,29.2992
30,546,15,1.77682,29.0538,29.1081
30,548,-15,1.77682,29.2437,29.2976
30,1057,13,0.10566,0.824226,0.830971
30,1088,11,0.000511,76.9575,76.9575
30,1243,11,0.000511,0.112366,0.112367
30,1244,-11,0.000511,0.0372222,0.0372257
31,5,25,124.998,299.863,324.873
31,8,25,124.998,579.956,593.273
31,12,25,124.998,593.488,606.508
31,17,25,124.998,554.002,567.929
31,113,25,124.998,553.952,567.88
31,122,25,124.998,554.82,568.727
31,451,25,124.998,554.727,568.636
31,596,23,80.0201,386.756,394.947
31,597,23,43.6872,168.105,173.689
31,598,15,1.77682,128.587,128.6
31,599,-15,1.77682,266.342,266.348
31,1436,-13,0.10566,11.8484,11.8489
31,1441,11,0.000511,0.0601884,0.0601906
31,1442,-11,0.000511,4.37801,4.37801
31,1482,11,0.000511,0.0397798,0.0397831
31,1483,-11,0.000511,0.064882,0.064884
32,5,25,124.998,159.596,202.72
32,8,25,124.998,186.063,224.151
32,12,25,124.998,173.027,213.454
32,17,25,124.998,166.077,207.861
32,115,25,124.998,166.158,207.925
32,719,25,124.998,166.271,208.016
32,953,23,92.7474,103.377,138.884
32,954,11,0.000511,101.49,101.49
32,955,-11,0.000511,37.3947,37.3947
32,956,-11,0.000511,38.0404,38.0404
32,958,11,0.000511,98.9333,98.9333
32,959,-11,0.000511,38.0404,38.0404
32,961,11,0.000511,98.9332,98.9332
32,962,-11,0.000511,38.0403,38.0403
32,964,11,0.000511,98.9332,98.9332
32,1824,13,0.10566,0.756823,0.764163
32,1998,11,0.000511,1.08667,1.08667
32,2197,-11,0.000511,2.28207,2.28207
33,5,25,125,847.425,856.595
33,8,25,125,959.551,967.658
33,12,25,125,947.894,956.1
33,17,25,125,952.497,960.664
33,31,25,125,947.427,955.637
33,505,25,125,947.431,955.641
33,679,23,24.7601,260.246,261.422
33,680,23,74.5371,690.207,694.22
33,681,13,0.10566,24.2014,24.2016
33,682,-13,0.10566,237.22,237.22
33,1469,11,0.000511,1.19774,1.19774
33,1470,-11,0.000511,0.0250428,0.025048
33,1539,-11,0.000511,1.11041,1.11041
33,1560,13,0.10566,0.702917,0.710814
33,1609,11,0.000511,129.639,129.639
33,1610,-11,0.000511,50.5024,50.5024
34,5,25,124.997,2573.94,2576.97
34,8,25,124.997,1786.89,1791.26
34,12,25,124.997,1809.67,1813.98
34,17,25,124.997,1823.84,1828.12
34,23,25,124.997,1802.8,1807.13
34,39,25,124.997,1802.87,1807.2
34,95,25,124.997,1802.87,1807.2
34,122,23,90.7859,1364.12,1367.14
34,123,23,10.7062,439.932,440.062
34,144,15,1.77682,230.763,230.77
34,145,-15,1.77682,209.284,209.292
35,5,25,124.999,1026.06,1033.64
35,8,25,124.999,1588.22,1593.13
35,12,25,124.999,1470.16,1475.47
35,222,25,124.999,1454.33,1459.69
35,271,25,124.999,1459.03,1464.38
35,496,25,124.999,1463.57,1468.9
35,939,25,124.999,1463.59,1468.92
35,961,25,124.999,1464.77,1470.1
35,1236,23,91.3352,1005.5,1009.64
35,1237,23,24.497,459.803,460.455
35,1279,13,0.10566,200.137,200.137
35,1280,-13,0.10566,260.319,260.319
35,2500,11,0.000511,0.0245369,0.0245422
35,2501,-11,0.000511,0.248661,0.248661
35,2598,11,0.000511,0.735324,0.735324
