i,j,id,m,px,py,pz
861,1003,-11,0.000511,1.88722,0.148949,46.4617
861,1215,11,0.000511,0.0152671,-0.0399148,0.0780151
861,1216,-11,0.000511,0.0228144,-0.0870568,0.174753
862,331,11,0.000511,-24.347,-0.0132751,-27.8291
862,332,-11,0.000511,40.7811,1.66853,-318.432
862,333,11,0.000511,-24.347,-0.0132754,-27.8291
862,335,-11,0.000511,40.7811,1.66853,-318.432
862,644,11,0.000511,-0.00941428,-0.00154664,1.16767
862,645,-11,0.000511,-0.0627417,-0.0180491,9.52359
862,761,11,0.000511,0.071139,0.0546157,1.46135
862,762,-11,0.000511,0.0411685,0.0312454,0.853286
862,845,-11,0.000511,1.82712,-1.13164,-9.52656
862,856,15,1.77682,6.23455,-4.39401,-55.846
